flight,min_distance_m
1,9.170945247278366
2,2.099690021904765
3,1.1442247083202866
4,0.4565749274242023
5,2.641341993813051
6,2.549270376014794
7,3.974977061346211
8,1.7836211860094864
9,1.7641259436997023
10,2.4786493261724756
11,1.6502300965611474
12,1.0062717280307736
13,0.5445740966739928
14,1.6090268160657728
15,0.43377335702598674
16,1.5777112649017158
17,0.6332760400626054
18,0.3720249547903602
19,2.9752688358315478
20,0.15008160957516098
21,0.5323232272743059
22,1.2189106589936773
23,1.6991830534844896
24,0.8662331494140179
25,0.7123815405188091
26,0.2520133924186734
27,1.4877070428669152
28,0.16034141297294496
29,1.498296594475395
30,0.34377070054643466
31,0.9934694431092591
32,0.2803215524111046
33,2.1567302788333853
34,0.7006626474431501
35,7.529887471865848
36,1.676909498965178
37,0.6176544796786517
38,0.2434065004485164
39,1.8359083724687237
40,1.9113567408672525
41,1.8608638774655293
42,0.789117098736601
43,1.6860588328035844
44,1.4544924064366511
45,3.2544247407654248
46,2.934519047585505
47,0.975120306385777
48,2.1108896613593235
49,5.888244630016357
50,1.286819433318717
